2,House Ethics Panel Says DeLay Tried to Trade Favor for a Vote A panel admonished Representative Tom DeLay for improperly trying to win the vote of a lawmaker during a floor fight over a bill.,2
2,"Explosions rock Red Sea resorts in Egypt An explosion rocked the Hilton Hotel in Egypt #39;s Red Sea resort of Taba Thursday night, killing at least 35 people and injuring more than 160 others, Qatar-based al-Jazeera satellite TV channel reported.",2
2,"Iraq Vote Preparations Said on Schedule (AP) AP - Preparations for the crucial January election are ""on track"" and the absence of international observers due to the country's tenuous security should not detract from the vote's credibility, the top U.N. electoral expert here said.",2
0,"In remote India, guarding land of ancestors tops lure of oil WOKHA, India -- The Nagas of northeastern India, warriors for centuries, launched the country's oldest insurgency nearly five decades ago -- a few years before their last tribe gave up headhunting. They have been poor for much longer, but they are in no hurry to tap the oil riches lying roughly a mile beneath their feet. Protecting the land their ...",0
2,"Mubarak seeks comprehensive reforms in Egypt Egyptian President Husni Mubarak wants reform on the economic, political and social fronts, according to an interview published on the eve of his ruling National Democratic Party #39;s (NDP) annual convention.",2
2,Romania ends negotiations to join EU (AFP) AFP - Romanian Foreign Minister Mircea Geoana said his country had completed its negotiations to join the European Union in 2007.,2
2,"Cows munch on light aircraft (AFP) AFP - When Tony Cooper and Lisa Kingscott left their four-seater light plane parked in a field to have lunch with friends nearby, they paid little attention to the cows quietly grazing nearby.",2
2,Germany #39;s most beautiful words Habseligkeiten - which means  #39;property #39; - has been voted the most beautiful word in the German language. And rhabarbermarmelade -  #39;rhubarb jam #39; - has been singled out as Germany #39;s coolest word.,2
2,"16 killed in suicide bombings in Israel BEERSHEBA, Israel -- Palestinian suicide bombers blew up two passenger buses in near-simultaneous explosions yesterday afternoon along the main thoroughfare of this southern Israeli city, killing 16 people and shattering a five-month lull in suicide attacks inside the Jewish state.",2
2,"Kidnappers Release 2 of 4 Iraqi Guards A US Embassy spokesman said Tuesday that an American, a Nepalese, a Filipino and an Iraqi remain hostages after a kidnapping raid Monday night in Baghdad.",2
2,"Japan, U.S. Reach Deal on Beef Imports (AP) AP - U.S. and Japanese negotiators struck a deal Saturday to allow limited imports of American beef into Japan for the first time since Tokyo closed its billion-dollar market last year over a mad cow disease scare.",2
2,"Dozens trapped in China mine blast TONGCHUAN, CHINA - A gas explosion tore through a coal mine in China #39;s Shaanxi province, trapping as many as 170 miners underground.",2
2,"Abu Ghraib Hearing Underway in Germany Charles Graner, the suspected ringleader in the Iraqi prisoner abuse scandal and three others are facing pre-trial hearings in Germany, marked by warnings by the judge for the US to speed up investigations.",2
0,"UN DR Congo sex abuses 'on film' The UN has photos and video footage of sexual abuses committed by UN staff in DR Congo, says an official.",0
2,Accused U.S. Deserter to Turn Himself In (AP) AP - Alleged U.S. Army deserter Charles Robert Jenkins said Wednesday he would surrender to U.S. military authorities to face charges he deserted his post along the demilitarized zone dividing north and south Korea in the 1960s.,2
0,"Sudanese governor accuses rebels of rape Khartoum - A top official in Sudan #39;s war-torn Darfur region accused rebels of attacking villages and raping women in what he said was a new violation of a fragile ceasefire, a newspaper reported on Sunday.",0
0,"Florida Hopes to Get It Right in Primary Ballot (Reuters) Reuters - Florida, which held up the results of the\2000 presidential election by more than a month, holds a\primary this week that many regard as a test of the state's\readiness to avoid another fiasco in November.",0
2,"Powell warning WASHINGTON: Militia fighters loyal to radical Shi #39;ite Moqtada Al Sadr have left the Imam Ali shrine and the United States does not want them to recover their strength, US Secretary of State Colin Powell said last night.",2
2,"Study: 100,000 Iraqis died post-war LONDON, England -- Public health experts have estimated that around 100,000 Iraqi civilians have died since the United States invaded Iraq in March last year.",2
0,"Bush calls on Israel to freeze settlements NEWYORK - President George W. Bush called on Israel yesterday to enforce a freeze in the settlements and to end the  quot;daily humiliation quot; of the Palestinians, and told the Palestinians that a  quot;commitment to democratic reform is essential to resolving the ",0
0,"For Families of Autistic, the Fight for Ordinary Families with autistic children are finding that techniques that have proved successful in the class can be tried at home.",0
0,"Cuba Expels Spanish, Dutch Legislators in EU Spat  HAVANA/MADRID (Reuters) - Cuba said on Saturday it barred  entry to three European lawmakers on a trip to support  dissidents, setting back Spain's campaign to mend frosty ties  between the EU bloc and the communist-ruled island.",0
0,"Five held for Sinai bombings CAIRO: Egypt announced yesterday it had arrested five of the nine men who bombed Red Sea resorts almost three weeks ago, saying the attackers used stolen cars packed with old war-time explosives and a washing-machine timer.",0
